v2-AC comparison (seed 31, 10000 test eps)
Agent            |     Mean |      Std |   CVaR90 |   CVaR95 |      Max | cap-frac
----------------------------------------------------------------------------------
TWAP             |   1.6041 |   0.4081 |   2.3183 |   2.4430 |   3.1172 |    0.000
AC               |   1.6041 |   0.4081 |   2.3182 |   2.4429 |   3.1171 |    0.000
MaxSpeed         |   3.0220 |   0.1535 |   3.2939 |   3.3426 |   3.6763 |    1.000
DQN              |   1.6043 |   0.4081 |   2.3185 |   2.4432 |   3.1172 |    0.000
DDQN             |   1.7646 |   0.3317 |   2.3490 |   2.4538 |   2.9935 |    0.000
IQN-neutral      |   1.7728 |   0.3293 |   2.3495 |   2.4507 |   3.0881 |    0.000
IQN-CVaR_0.30    |   1.7728 |   0.3293 |   2.3495 |   2.4507 |   3.0881 |    0.000
IQN-CVaR_0.50    |   1.7728 |   0.3293 |   2.3495 |   2.4507 |   3.0881 |    0.000
IQN-CVaR_0.70    |   1.7728 |   0.3293 |   2.3495 |   2.4507 |   3.0881 |    0.000
IQN-CVaR_0.90    |   1.7728 |   0.3293 |   2.3495 |   2.4507 |   3.0881 |    0.000
IQN-CVaR_0.95    |   1.7728 |   0.3293 |   2.3495 |   2.4507 |   3.0881 |    0.000
