# action-vs-spread heatmap; n_eps=2000
action_fracs,0,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25
spread_bin_edges,0.0001,0.0120668,0.0240337,0.0360005,0.0479674,0.0599342,0.0719011,0.0838679,0.0958347,0.107802,0.119768
spread_bin,lo,hi,mean_action,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
0,0.0001,0.0120668,0.0943,0.0000,0.0508,0.0028,0.1055,0.8064,0.0344,0.0000,0.0000,0.0000,0.0000,0.0000
1,0.0120668,0.0240337,0.0947,0.0000,0.0505,0.0018,0.0925,0.8212,0.0340,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.0240337,0.0360005,0.0941,0.0000,0.0553,0.0017,0.0981,0.8128,0.0321,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.0360005,0.0479674,0.0941,0.0000,0.0549,0.0000,0.0898,0.8379,0.0175,0.0000,0.0000,0.0000,0.0000,0.0000
4,0.0479674,0.0599342,0.0938,0.0000,0.0554,0.0076,0.1013,0.7992,0.0363,0.0000,0.0000,0.0000,0.0000,0.0000
5,0.0599342,0.0719011,0.0951,0.0000,0.0408,0.0018,0.1064,0.8138,0.0372,0.0000,0.0000,0.0000,0.0000,0.0000
6,0.0719011,0.0838679,0.0945,0.0000,0.0525,0.0031,0.0864,0.8272,0.0309,0.0000,0.0000,0.0000,0.0000,0.0000
7,0.0838679,0.0958347,0.0941,0.0000,0.0455,0.0000,0.1212,0.8106,0.0227,0.0000,0.0000,0.0000,0.0000,0.0000
8,0.0958347,0.107802,0.0924,0.0000,0.0652,0.0000,0.1087,0.8261,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,0.107802,0.119768,0.0977,0.0000,0.0000,0.0000,0.0909,0.9091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
