Seed-aggregated results (regime): 5 seed(s) from 5 dir(s).
Aggregated over 5 seed(s). All values in bps (mean ± std across seeds).
Agent            |         Mean IS |          Std IS |          CVaR90 |          CVaR95 |          Max IS |              GL
----------------------------------------------------------------------------------------------------------------------------
TWAP             |  1.6345±0.0457  |  4.1911±0.0941  |  7.9129±0.2841  | 12.7921±0.4309  | 54.4279±6.6404  |  0.2226±0.0124 
AC               |  1.6345±0.0456  |  4.1907±0.0941  |  7.9121±0.2841  | 12.7907±0.4309  | 54.4238±6.6409  |  0.2225±0.0124 
MaxSpeed         |  3.0146±0.0106  |  1.6026±0.0949  |  4.2268±0.0765  |  5.2744±0.1530  | 33.0397±4.0696  |  0.0222±0.0024 
DQN              |  2.6179±0.3502  |  1.9184±0.3279  |  4.5159±0.2630  |  6.1461±0.7754  | 43.8070±10.5440 |  0.0400±0.0242 
DDQN             |  2.7213±0.1897  |  1.7533±0.1652  |  4.3149±0.1549  |  5.6385±0.3454  | 35.5898±3.4975  |  0.0287±0.0072 
IQN-neutral      |  2.8501±0.1377  |  1.6151±0.1093  |  4.1503±0.0758  |  5.2562±0.0863  | 33.6712±4.1451  |  0.0243±0.0043 
IQN-CVaR_0.30    |  2.7969±0.1425  |  1.7188±0.1777  |  4.2563±0.1446  |  5.4996±0.3200  | 33.1710±4.7073  |  0.0270±0.0064 
IQN-CVaR_0.50    |  2.8194±0.1434  |  1.6603±0.1278  |  4.1010±0.1517  |  5.1659±0.2334  | 33.1291±6.6474  |  0.0275±0.0042 
IQN-CVaR_0.70    |  2.8439±0.1392  |  1.6554±0.1631  |  4.1248±0.1663  |  5.2025±0.2476  | 35.0609±3.7409  |  0.0255±0.0049 
IQN-CVaR_0.90    |  2.8584±0.1434  |  1.6336±0.1439  |  4.1609±0.1237  |  5.2740±0.1493  | 33.3511±4.9148  |  0.0235±0.0047 
IQN-CVaR_0.95    |  2.8642±0.1285  |  1.6068±0.1126  |  4.2131±0.0857  |  5.3775±0.1654  | 33.5161±5.0921  |  0.0225±0.0032 
