v2-Regime comparison (seed 7, cell σ_high=0.002 p01=0.05, 10000 eps)
Agent            |     Mean |      Std |   CVaR90 |   CVaR95 |      Max | cap-frac
----------------------------------------------------------------------------------
TWAP             |   1.6267 |   2.0387 |   4.7997 |   7.0878 |  26.3047 |    0.000
AC               |   1.6267 |   2.0384 |   4.7993 |   7.0872 |  26.3026 |    0.000
MaxSpeed         |   3.0112 |   0.8279 |   3.6906 |   4.2056 |  17.4378 |    1.000
DQN              |   2.3437 |   0.9551 |   3.3406 |   4.0923 |  15.2912 |    0.000
DDQN             |   2.8866 |   0.8211 |   3.6887 |   4.2469 |  17.2013 |    0.203
IQN-neutral      |   2.7420 |   0.7948 |   3.4307 |   3.9380 |  16.9842 |    0.000
IQN-CVaR_0.30    |   2.7420 |   0.7948 |   3.4307 |   3.9380 |  16.9842 |    0.000
IQN-CVaR_0.50    |   2.7420 |   0.7948 |   3.4307 |   3.9380 |  16.9842 |    0.000
IQN-CVaR_0.70    |   2.7420 |   0.7948 |   3.4307 |   3.9380 |  16.9842 |    0.000
IQN-CVaR_0.90    |   2.7420 |   0.7948 |   3.4307 |   3.9380 |  16.9842 |    0.000
IQN-CVaR_0.95    |   2.7420 |   0.7948 |   3.4307 |   3.9380 |  16.9842 |    0.000
