v2-Regime comparison (seed 42, cell σ_high=0.002 p01=0.05, 10000 eps)
Agent            |     Mean |      Std |   CVaR90 |   CVaR95 |      Max | cap-frac
----------------------------------------------------------------------------------
TWAP             |   1.4971 |   8.3696 |  13.1795 |  22.5742 | 106.9377 |    0.000
AC               |   1.4971 |   8.3687 |  13.1780 |  22.5716 | 106.9260 |    0.000
MaxSpeed         |   2.9970 |   3.0839 |   5.1148 |   7.0511 |  61.1028 |    1.000
DQN              |   1.8637 |   6.5764 |  10.3414 |  18.1496 |  87.5303 |    0.000
DDQN             |   2.5777 |   3.7403 |   5.3411 |   7.8476 |  85.5812 |    0.000
IQN-neutral      |   2.6900 |   3.3019 |   5.4257 |   7.9555 |  66.7604 |    0.227
IQN-CVaR_0.30    |   2.6537 |   4.0865 |   5.9919 |   9.0875 |  66.1233 |    0.175
IQN-CVaR_0.50    |   2.6726 |   3.4610 |   5.5329 |   8.1577 |  65.0493 |    0.162
IQN-CVaR_0.70    |   2.6491 |   3.2194 |   5.0281 |   7.1254 |  52.9505 |    0.185
IQN-CVaR_0.90    |   2.6867 |   3.5724 |   5.6135 |   8.3264 |  64.5575 |    0.200
IQN-CVaR_0.95    |   2.6690 |   3.3213 |   5.3799 |   7.8615 |  63.4376 |    0.193
