# action_spread_heatmap: within-spread-bin action frequency
# n_episodes=2000,seed=424242,n_steps=21202
action_fracs,0,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25
spread_bin_edges,9.9999997e-05,0.012066843,0.024033685,0.036000528,0.04796737,0.059934213,0.071901055,0.083867898,0.095834741,0.10780158,0.11976843
spread_bin,spread_lo,spread_hi,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10
0,9.9999997e-05,0.012066843,0.000000,0.050114,0.001139,0.092825,0.826879,0.029043,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.012066843,0.024033685,0.000000,0.053909,0.002243,0.094521,0.816565,0.032762,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.024033685,0.036000528,0.000000,0.052140,0.002285,0.096386,0.816577,0.032613,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.036000528,0.04796737,0.000000,0.062626,0.002020,0.117172,0.797980,0.020202,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.04796737,0.059934213,0.000000,0.054745,0.001825,0.111314,0.795620,0.036496,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.059934213,0.071901055,0.000000,0.048598,0.005607,0.102804,0.809346,0.033645,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.071901055,0.083867898,0.000000,0.035813,0.000000,0.093664,0.831956,0.038567,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.083867898,0.095834741,0.000000,0.039735,0.000000,0.086093,0.854305,0.019868,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.095834741,0.10780158,0.000000,0.065217,0.000000,0.065217,0.760870,0.108696,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.10780158,0.11976843,0.000000,0.300000,0.000000,0.000000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
