# action-vs-spread heatmap; n_eps=2000
action_fracs,0,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25
spread_bin_edges,0.0001,0.0117189,0.0233378,0.0349567,0.0465756,0.0581946,0.0698135,0.0814324,0.0930513,0.10467,0.116289
spread_bin,lo,hi,mean_action,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
0,0.0001,0.0117189,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
1,0.0117189,0.0233378,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
2,0.0233378,0.0349567,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
3,0.0349567,0.0465756,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
4,0.0465756,0.0581946,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
5,0.0581946,0.0698135,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
6,0.0698135,0.0814324,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
7,0.0814324,0.0930513,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
8,0.0930513,0.10467,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
9,0.10467,0.116289,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
