# action_spread_heatmap: within-spread-bin action frequency
# n_episodes=500,seed=100006,n_steps=2022
action_fracs,0,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25
spread_bin_edges,9.9999997e-05,0.010119648,0.020139296,0.030158945,0.040178593,0.050198241,0.060217889,0.070237538,0.080257186,0.090276834,0.10029648
spread_bin,spread_lo,spread_hi,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10
0,9.9999997e-05,0.010119648,0.000000,0.024691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.975309
1,0.010119648,0.020139296,0.000000,0.011057,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004914,0.000000,0.984029
2,0.020139296,0.030158945,0.000000,0.009721,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007290,0.000000,0.982989
3,0.030158945,0.040178593,0.000000,0.017699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.982301
4,0.040178593,0.050198241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
5,0.050198241,0.060217889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
6,0.060217889,0.070237538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
7,0.070237538,0.080257186,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
8,0.080257186,0.090276834,0.000000,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058824,0.000000,0.882353
9,0.090276834,0.10029648,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
