v2-TAQ comparison (AAPL, seed 123, 10000 test eps)
Agent            |     Mean |      Std |   CVaR90 |   CVaR95 |      Max | cap-frac
----------------------------------------------------------------------------------
TWAP             |  -0.0032 |  24.3887 |  43.3714 |  56.6390 | 239.1494 |    0.000
AC               |  -0.0032 |  24.3882 |  43.3704 |  56.6378 | 239.1454 |    0.000
MaxSpeed         |   1.2798 |  10.8452 |  19.8691 |  26.3037 | 209.4404 |    1.000
DQN              |   0.9670 |  11.7461 |  21.2274 |  28.1322 | 158.1352 |    0.003
DDQN             |   1.2714 |  11.3756 |  20.2894 |  27.5517 | 206.3747 |    0.926
IQN-neutral      |   1.0194 |  11.1577 |  18.7242 |  25.3324 | 205.1810 |    0.659
IQN-CVaR_0.30    |   1.0875 |  10.7950 |  18.4873 |  24.5046 | 205.1810 |    0.818
IQN-CVaR_0.50    |   1.0661 |  10.8616 |  18.5016 |  24.5657 | 205.1810 |    0.792
IQN-CVaR_0.70    |   1.0566 |  10.9492 |  18.5337 |  24.7215 | 205.1810 |    0.765
IQN-CVaR_0.90    |   1.0299 |  11.0134 |  18.5171 |  24.8870 | 205.1810 |    0.728
IQN-CVaR_0.95    |   1.0313 |  11.1260 |  18.6524 |  25.1269 | 205.1810 |    0.705
