v2-TAQ comparison (GOOG, seed 2024, 10000 test eps)
Agent            |     Mean |      Std |   CVaR90 |   CVaR95 |      Max | cap-frac
----------------------------------------------------------------------------------
TWAP             |   1.0736 |  81.0151 | 120.9232 | 134.8173 | 221.4224 |    0.000
AC               |   1.0736 |  81.0145 | 120.9222 | 134.8160 | 221.4205 |    0.000
MaxSpeed         |   0.2360 |  69.8282 | 113.8931 | 129.6954 | 187.5407 |    1.000
DQN              | -37.8821 |  54.1323 |  27.8195 |  38.7285 | 152.3974 |    0.028
DDQN             | -30.3337 |  46.8389 |  24.8474 |  32.5421 | 115.0636 |    0.107
IQN-neutral      | -35.5105 |  49.3630 |  20.9330 |  28.0226 | 142.8925 |    0.258
IQN-CVaR_0.30    | -30.2507 |  45.3218 |  21.2297 |  27.8329 | 114.0158 |    0.372
IQN-CVaR_0.50    | -30.5226 |  45.4507 |  21.2341 |  27.9711 | 114.0158 |    0.355
IQN-CVaR_0.70    | -31.5186 |  46.2183 |  21.1385 |  27.9053 | 114.0158 |    0.333
IQN-CVaR_0.90    | -33.7622 |  48.0624 |  21.0798 |  27.9629 | 135.9376 |    0.291
IQN-CVaR_0.95    | -34.6131 |  48.6992 |  21.1231 |  28.1286 | 145.8226 |    0.276
