v2-TAQ comparison (MSFT, seed 31, 10000 test eps)
Agent            |     Mean |      Std |   CVaR90 |   CVaR95 |      Max | cap-frac
----------------------------------------------------------------------------------
TWAP             |   0.1310 |  21.0332 |  38.2862 |  47.6717 | 191.1838 |    0.000
AC               |   0.1310 |  21.0328 |  38.2854 |  47.6706 | 191.1810 |    0.000
MaxSpeed         |   2.8541 |   8.9863 |  18.7443 |  23.0910 |  99.3902 |    1.000
DQN              |   2.2041 |   9.9863 |  20.1386 |  25.2012 | 123.9588 |    0.000
DDQN             |   2.2447 |   9.6936 |  19.2821 |  23.7857 | 153.6127 |    0.000
IQN-neutral      |   2.8320 |   8.9456 |  18.4477 |  22.6238 | 128.9876 |    0.918
IQN-CVaR_0.30    |   2.8201 |   8.9451 |  18.3833 |  22.5581 | 128.9876 |    0.895
IQN-CVaR_0.50    |   2.8227 |   8.9489 |  18.4044 |  22.5668 | 128.9876 |    0.907
IQN-CVaR_0.70    |   2.8227 |   8.9597 |  18.4178 |  22.5650 | 128.9876 |    0.917
IQN-CVaR_0.90    |   2.8277 |   8.9302 |  18.4054 |  22.5564 | 128.9876 |    0.914
IQN-CVaR_0.95    |   2.8285 |   8.9468 |  18.4410 |  22.6084 | 128.9876 |    0.919
