Seed-aggregated results (taq): 5 seed(s) from 5 dir(s).
Aggregated over 5 seed(s). All values in bps (mean ± std across seeds).
Agent            |         Mean IS |          Std IS |          CVaR90 |          CVaR95 |          Max IS |              GL
----------------------------------------------------------------------------------------------------------------------------
TWAP             |  0.3825±0.1975  | 24.0572±0.3580  | 43.9429±0.8711  | 56.9186±1.5394  | 239.1146±0.0695  |  0.9551±0.0231 
AC               |  0.3825±0.1975  | 24.0566±0.3579  | 43.9419±0.8711  | 56.9173±1.5393  | 239.1108±0.0691  |  0.9551±0.0231 
MaxSpeed         |  1.4441±0.0911  | 10.4614±0.2699  | 20.0463±0.1932  | 26.0744±0.3947  | 209.4404±0.0000  |  0.6493±0.0178 
DQN              |  1.0281±0.2445  | 13.7948±2.3476  | 26.1792±4.7421  | 34.2278±6.0441  | 192.6146±43.1844 |  0.7870±0.0717 
DDQN             |  1.3313±0.0796  | 10.8038±0.3947  | 20.4130±0.4329  | 26.8109±0.7731  | 174.0974±20.4398 |  0.6784±0.0186 
IQN-neutral      |  1.3229±0.1698  | 10.8628±0.6497  | 19.8806±0.8037  | 26.2348±1.0402  | 192.2068±11.0689 |  0.6757±0.0357 
IQN-CVaR_0.30    |  1.3413±0.1313  | 10.5645±0.2628  | 19.7527±0.7268  | 25.9970±0.9051  | 185.9727±16.7257 |  0.6693±0.0244 
IQN-CVaR_0.50    |  1.3452±0.1445  | 10.5340±0.2889  | 19.6765±0.7072  | 25.7598±0.7862  | 186.4780±23.7082 |  0.6684±0.0276 
IQN-CVaR_0.70    |  1.3451±0.1490  | 10.5798±0.4062  | 19.6701±0.7062  | 25.7548±0.8064  | 195.3912±18.0877 |  0.6687±0.0291 
IQN-CVaR_0.90    |  1.3337±0.1640  | 10.6948±0.4640  | 19.7061±0.7041  | 25.9123±0.8197  | 192.1420±17.6464 |  0.6719±0.0330 
IQN-CVaR_0.95    |  1.3371±0.1658  | 10.7786±0.5345  | 19.8038±0.7163  | 26.0685±0.8933  | 196.5135±17.0326 |  0.6718±0.0336 
